obj_ID,alpha,delta,u,g,r,i,z,field_ID,class,fiber_ID
1.23767E+18,267.6272771,25.41078112,21.8857,20.22803,19.60719,19.38448,19.24491,125,STAR,600
1.23766E+18,129.669106,39.08014163,22.75972,22.33138,20.81303,19.78445,19.16647,157,GALAXY,169
1.23767E+18,335.5467392,22.4328896,24.52573,24.56507,21.85904,20.6003,19.56432,55,GALAXY,149
1.23767E+18,335.5081821,22.47769393,22.79176,22.59233,21.50218,20.39903,19.68608,55,GALAXY,193
1.23767E+18,159.7712179,22.90220673,18.18608,18.04931,17.75193,17.73256,17.78253,308,QSO,562
1.23767E+18,161.1843151,23.1394412,19.2641,17.77944,17.10706,16.82521,16.66497,317,STAR,388
1.23765E+18,1.731275974,16.08166307,23.03303,21.09544,19.1943,18.51469,18.01897,314,GALAXY,979
1.23766E+18,339.6094457,-0.401523854,21.71327,19.96071,18.68786,18.17053,17.76778,220,GALAXY,180
1.23766E+18,333.3540846,-0.320424236,20.32781,19.06632,18.47048,18.13985,17.89553,178,GALAXY,185
1.23768E+18,348.9491566,-1.880417751,24.43789,22.70037,21.57567,20.50386,19.82821,145,GALAXY,207
1.23767E+18,155.3825322,24.20731664,19.28256,17.57086,16.79196,16.39657,16.09448,302,GALAXY,594
1.23767E+18,157.9167669,24.75035887,18.6783,18.56849,18.28917,18.21018,17.68076,318,QSO,758
1.23765E+18,233.5470394,57.86139907,21.55951,19.98315,18.36173,17.77722,17.37204,326,GALAXY,150
1.23765E+18,218.4943595,3.672961844,27.10127,21.44564,19.76561,18.72035,18.13984,244,GALAXY,259
1.23765E+18,219.4043344,3.629358574,22.53234,21.49669,19.64375,18.98023,18.57421,250,GALAXY,486
1.23765E+18,8.497824975,15.34199651,23.2733,22.18751,20.6321,19.74818,19.26084,205,GALAXY,959
1.23765E+18,12.27911585,15.17629618,23.66623,21.46025,19.74733,18.76491,18.23895,230,GALAXY,622
1.23768E+18,40.12550638,3.504013406,23.04723,22.91427,22.99111,22.17126,21.21337,256,GALAXY,584
1.23766E+18,173.9845106,53.8740478,21.96245,19.88753,18.29062,17.68828,17.34309,159,GALAXY,51
1.23767E+18,171.7118263,20.49908446,18.92981,17.81624,17.39396,17.10856,16.93358,84,GALAXY,410
1.23768E+18,13.18660771,11.75612291,22.87967,21.90276,22.01376,21.87333,21.08294,396,QSO,282
1.23766E+18,253.2321808,20.18198182,21.94906,19.48184,18.09411,16.86405,16.20561,180,STAR,485
1.23765E+18,146.439282,2.237543307,23.64582,22.5292,21.11902,19.68053,19.12656,159,GALAXY,493
1.23765E+18,154.9992571,2.519429043,19.75519,18.16221,17.35794,16.94063,16.70611,216,GALAXY,481
1.23766E+18,129.5777165,29.04539998,25.40071,21.92014,19.56422,18.92485,18.5644,37,GALAXY,800
1.23766E+18,135.6885486,32.36543236,19.77462,18.29778,17.87563,17.65845,17.66204,78,GALAXY,628
1.23767E+18,169.863745,27.79838512,24.98477,21.998,20.30022,18.3646,17.31518,392,STAR,376
1.23765E+18,216.7386149,3.708190502,26.25848,21.962,20.22898,19.7197,19.31304,232,GALAXY,22
1.23765E+18,222.879539,3.359325321,20.54891,18.77037,17.51467,17.01419,16.62887,273,GALAXY,230
1.23765E+18,6.291804013,15.29240195,24.36881,22.74608,20.75183,19.90575,19.35456,191,GALAXY,943
1.24E+18,263.0604632,34.13579959,17.84751,16.52499,15.95014,15.68786,15.5457,76,STAR,445
1.23766E+18,244.9043201,24.95609665,24.38507,21.25443,19.49255,18.78668,18.41773,120,GALAXY,4
1.23768E+18,338.7927186,20.33371814,25.72364,23.03721,21.04014,19.72521,18.91054,96,GALAXY,645
1.23766E+18,181.4076355,54.4684317,20.63578,20.41439,20.31782,20.00517,19.82034,189,QSO,166
1.23766E+18,144.8116911,46.92047672,24.45142,21.51859,20.46167,19.93067,19.51852,28,STAR,755
1.23768E+18,344.1731191,19.13264576,23.33889,21.98714,20.46255,19.46317,18.94339,128,GALAXY,931
1.23768E+18,344.7363945,19.21243647,25.25439,22.75798,21.25602,20.01969,19.5348,132,GALAXY,557
1.23768E+18,345.4177658,19.3134168,27.15929,22.70051,21.00303,19.87887,19.46968,136,GALAXY,679
1.23765E+18,2.172225938,16.19665602,21.5802,20.57191,20.3905,20.20049,20.35182,316,QSO,578
1.23765E+18,167.6970195,-2.448301392,22.45479,21.62992,21.44386,21.35073,20.83829,99,STAR,70
1.23768E+18,338.7670717,20.22490516,22.55764,23.12675,21.87608,20.6733,19.82829,95,GALAXY,329
1.23768E+18,29.98416518,10.84376415,19.15626,17.8138,16.79765,16.2748,15.88608,506,QSO,123
1.23766E+18,137.2969378,43.66577476,22.79371,22.47182,21.2807,20.13826,19.31719,206,GALAXY,37
1.23766E+18,116.562614,27.52112922,19.75681,18.48689,17.47693,16.9563,16.61813,51,GALAXY,193
1.23766E+18,136.7230978,43.4895958,19.39632,17.27617,16.17484,15.65449,15.20023,203,GALAXY,531
1.23766E+18,119.125577,30.24383019,25.62371,22.70023,21.12361,19.93859,19.25019,74,GALAXY,159
1.23766E+18,139.0216404,10.84679253,22.92909,22.60838,20.95995,19.55458,18.62085,147,STAR,39
1.23768E+18,6.92376243,-7.171385604,27.36843,22.43094,20.83237,19.63248,18.86167,15,GALAXY,855
1.23768E+18,7.422320376,-7.092414458,21.7794,20.64518,18.97875,18.36097,17.95331,18,GALAXY,608
1.23768E+18,353.0493562,2.058503831,22.59323,22.02358,21.86487,21.92594,22.55944,283,QSO,440
1.23766E+18,207.9757918,7.515927906,18.98802,17.92512,17.56229,17.41123,17.41349,286,STAR,458
1.23767E+18,164.1158186,23.56505075,20.67499,19.86842,19.77686,19.74236,19.43085,335,QSO,382
1.23766E+18,116.0958893,30.45661151,20.16698,20.08098,20.14427,19.85855,19.66567,57,QSO,69
1.23768E+18,336.9000742,18.1343554,21.83943,21.77629,20.60705,19.80544,19.55602,82,GALAXY,243
1.23765E+18,1.450489567,16.18984861,20.56053,18.51112,17.4491,16.99342,16.61498,312,GALAXY,445
1.23768E+18,0.897616927,-8.05245344,24.55362,21.62312,20.58913,19.78403,19.89672,326,GALAXY,373
1.23768E+18,346.5385253,-1.831567186,22.54264,21.88185,20.5309,19.73092,19.27667,129,GALAXY,646
1.23768E+18,347.3297384,-1.753196014,22.57449,22.28132,20.28931,19.36939,18.81012,135,GALAXY,849
1.23766E+18,184.9315004,7.664289815,20.18216,18.35232,17.27345,16.83153,16.47283,134,GALAXY,319
1.23766E+18,198.6633483,7.316756481,25.32373,22.30239,20.49459,19.5481,18.78767,225,GALAXY,591
1.23768E+18,336.8458991,19.98816058,22.24721,19.30773,17.92509,17.39431,17.07972,83,GALAXY,366
1.23768E+18,329.5320046,18.50314166,23.20142,21.65676,20.38945,19.48816,18.9276,36,STAR,895
1.23768E+18,330.9304162,18.76884312,25.2542,22.60953,21.0792,19.95091,19.54768,45,GALAXY,333
1.23768E+18,331.0818191,18.82351478,22.64225,20.81143,19.0024,18.40315,17.95367,46,GALAXY,782
1.23768E+18,345.0282098,21.08373087,21.62115,21.34279,20.16104,18.65479,17.66638,135,STAR,363
1.23768E+18,22.82819558,11.479543,21.00585,19.00955,17.46504,16.80119,16.35259,459,GALAXY,317
1.23768E+18,316.825682,7.865024986,23.53811,23.37748,21.15316,19.82874,19.44676,25,GALAXY,617
1.23768E+18,40.49767767,3.560160934,23.20226,24.53431,23.82936,22.09652,22.75254,259,GALAXY,314
1.23767E+18,242.7101015,17.8369965,20.23238,19.24946,19.04356,18.94587,18.91817,99,STAR,599
1.23767E+18,241.056947,18.48223578,20.32845,19.4245,19.06592,18.87761,18.87157,88,STAR,364
1.23767E+18,160.7244709,25.20411955,22.75712,22.79135,22.28076,21.63456,21.83693,335,GALAXY,962
1.23766E+18,6.125301287,-1.169407719,24.20276,21.75866,20.16875,19.16595,18.59111,156,GALAXY,395
1.23766E+18,253.903288,21.64624399,22.23756,22.52513,20.68222,19.46133,18.83153,202,GALAXY,303
1.23766E+18,136.129033,32.76938051,22.93348,20.57471,18.853,18.21338,17.80852,82,GALAXY,544
1.23768E+18,341.7962244,20.75688464,22.41543,22.18979,20.56977,19.67478,19.26723,115,GALAXY,347
1.23766E+18,242.895108,26.35413005,18.45179,16.53581,15.60624,15.17542,14.84507,104,GALAXY,152
1.23766E+18,254.3174856,18.45263092,19.01066,17.92526,17.26291,16.91928,16.64811,192,GALAXY,166
1.23766E+18,238.1899641,29.17720376,20.40665,18.22079,17.13235,16.68729,16.34318,71,GALAXY,334
1.23765E+18,179.7502037,-2.673389921,20.85931,19.81905,19.72314,19.69964,19.64133,179,STAR,170
1.23765E+18,189.8541471,-2.636599144,16.58941,15.12915,14.56525,14.38807,14.31969,247,STAR,319
1.23766E+18,241.4590468,27.24533052,18.25378,16.58313,15.89249,15.52189,15.30048,94,GALAXY,593
1.23766E+18,244.7729047,25.20518652,21.64464,18.87211,17.81801,17.34803,16.99254,118,GALAXY,139
1.23768E+18,12.27257455,-8.260558093,19.3772,17.42771,16.41689,16.00279,15.66193,381,GALAXY,418
1.23766E+18,181.0716073,54.33957169,20.51585,20.24112,20.2057,19.90496,19.80293,187,QSO,402
1.23766E+18,182.7731945,54.42137895,21.52916,21.66393,21.72251,21.77715,21.13445,194,QSO,482
1.23768E+18,338.5802286,20.21664912,22.12341,21.55746,20.58542,19.85185,19.40779,94,GALAXY,433
1.23768E+18,346.5019246,12.66310264,22.28893,21.60472,21.37432,21.39408,20.87335,222,QSO,832
1.23768E+18,327.7840794,9.458564974,23.03421,21.76178,20.05691,18.89577,18.4569,98,GALAXY,487
1.23768E+18,5.24539637,12.04978632,26.19394,23.96235,21.2559,19.88415,19.21673,344,GALAXY,481
1.23766E+18,338.1475803,-0.243602104,20.14869,19.24574,18.69993,18.42369,18.31868,210,GALAXY,320
1.23766E+18,235.2159434,30.77876451,24.28438,21.98381,20.70392,19.78396,19.39429,50,GALAXY,839
1.23766E+18,251.0647535,20.79603961,18.27611,17.07667,16.60136,16.33783,16.16579,166,GALAXY,424
1.23766E+18,232.5869424,32.17321231,19.03692,17.14964,16.19931,15.74957,15.4193,33,GALAXY,40
1.23766E+18,229.2830273,33.52074333,20.41988,18.59942,17.66353,17.25764,16.90723,12,GALAXY,484
1.23768E+18,354.438295,32.19565345,19.26509,18.22012,17.82656,17.64138,17.58769,49,STAR,472
1.23766E+18,132.3677285,40.84110788,22.92736,24.14672,21.71825,20.6274,19.96332,175,GALAXY,95
1.23767E+18,343.6384881,23.7716558,23.76551,22.51311,20.61219,19.72001,19.1272,106,GALAXY,397
1.23766E+18,139.420929,44.95587529,25.42519,22.29782,20.52947,19.53461,19.04271,219,GALAXY,837
1.23766E+18,127.5910367,37.47453409,22.59955,21.02378,19.52688,18.65291,18.18871,142,GALAXY,826
1.23768E+18,329.9996234,3.726587912,22.99822,22.15485,22.08356,22.02047,22.12553,122,QSO,1000
1.23766E+18,211.9374232,48.84434965,24.46953,23.57676,21.76145,20.48442,19.83298,90,GALAXY,821
1.23768E+18,348.7029987,2.030856673,24.88311,21.48462,19.59986,19.5388,19.68916,254,QSO,803
1.23768E+18,5.558010114,-3.102494069,21.45356,20.76791,20.82399,20.85721,20.36657,354,QSO,46
1.23767E+18,165.9244452,32.33980136,22.98389,21.95733,20.58774,19.84794,19.55155,341,GALAXY,69
1.23766E+18,135.7433358,46.41029673,20.77593,19.10901,18.82173,18.6787,18.72135,204,STAR,996
1.23765E+18,249.6085305,45.77681116,20.03447,19.94801,19.77898,19.72773,19.7445,61,QSO,214
1.23767E+18,125.8853125,13.49412713,20.71819,18.03484,16.90619,16.56785,16.35909,84,STAR,462
1.23767E+18,133.1104174,16.12344683,24.74097,21.81865,21.38399,21.43681,21.35231,134,GALAXY,324
1.23768E+18,40.29111418,3.586411109,24.7618,23.50528,22.25379,21.97982,21.52896,257,GALAXY,624
1.23768E+18,24.95262562,2.378935036,23.65257,23.76629,22.90933,22.02259,21.35769,496,GALAXY,764
1.23767E+18,36.91526376,24.08637177,18.78726,17.12819,16.40216,16.11632,15.97406,92,STAR,427
1.23765E+18,217.7677579,3.643497838,25.02263,22.10707,20.36452,19.53686,19.08878,239,GALAXY,417
1.23765E+18,4.617657052,15.38650124,25.22674,22.17591,20.46942,19.55645,19.15983,180,GALAXY,621
1.23767E+18,345.3192011,26.13304773,21.30888,20.47238,20.39975,20.41795,20.13681,75,QSO,135
1.23767E+18,349.7471568,18.53768963,19.23088,17.96239,17.82065,17.78402,17.82338,133,STAR,299
1.23767E+18,66.51820543,17.12065377,19.05087,16.49607,14.96787,13.62782,12.39726,152,STAR,492
1.23766E+18,210.841126,7.310204059,21.84786,20.95987,20.85843,20.83487,20.43761,305,STAR,838
1.23768E+18,24.0073888,18.74291911,22.32961,21.89431,21.73312,21.01897,20.31232,333,QSO,64
1.23766E+18,177.892986,54.17634892,19.34375,18.07431,17.60009,17.26951,17.08463,175,GALAXY,244
1.23766E+18,162.6116843,52.22326714,19.27099,18.12522,17.67884,17.37751,17.24479,113,GALAXY,102
1.23767E+18,218.5622031,25.4253978,19.51559,18.07312,17.21544,16.7948,16.44413,226,GALAXY,159
1.23768E+18,331.9915779,18.38928499,21.51034,21.02409,21.08671,21.08473,21.71761,64,STAR,26
1.23768E+18,43.67258231,3.118984003,24.02046,20.5104,18.75779,18.09334,17.70065,160,GALAXY,718
1.23766E+18,134.2559804,31.58466408,24.69369,23.80136,21.80155,20.66028,19.84621,69,QSO,793
1.23766E+18,144.8394348,31.19624589,21.74668,22.23314,21.68136,20.96259,20.15859,118,GALAXY,392
1.23766E+18,145.1552789,31.26454196,21.97341,21.25766,21.89866,21.5234,23.10174,120,GALAXY,350
1.23766E+18,130.3277566,29.48967494,20.3372,18.24108,17.39116,16.91535,16.60453,42,GALAXY,629
1.23767E+18,169.394457,27.74662119,19.55769,19.469,19.24376,19.25563,19.37844,389,QSO,99
1.23767E+18,171.2128039,27.9994711,25.24017,22.72488,21.18456,19.22162,18.08441,400,STAR,563
1.23767E+18,173.0467607,28.11568152,19.9559,19.75046,20.15038,20.38478,20.89714,411,STAR,569
1.23768E+18,26.43282911,11.03811648,23.0005,20.61602,18.94409,18.32247,17.85413,483,GALAXY,96
1.23768E+18,340.769739,20.60637412,26.59091,21.09993,19.23971,18.57262,18.16926,108,GALAXY,483
1.23766E+18,242.1654629,26.82890873,20.14127,18.32061,17.4176,16.9338,16.60905,99,GALAXY,486
